Run,Graph,Duration
1,flow_network_10,1.06169
2,flow_network_11,1.01839
3,flow_network_12,0.992869
4,flow_network_13,0.541232
5,flow_network_14,0.558872
6,flow_network_15,1.1395
7,flow_network_16,1.09573
8,flow_network_17,1.21566
9,flow_network_18,2.49315
10,flow_network_19,1.22747
11,flow_network_1,0.153393
12,flow_network_20,1.23782
13,flow_network_21,1.22525
14,flow_network_22,0.686405
15,flow_network_23,0.663433
16,flow_network_2,0.111622
17,flow_network_3,0.132959
18,flow_network_4,0.133197
19,flow_network_5,0.0470276
20,flow_network_6,0.48413
21,flow_network_7,0.790727
22,flow_network_8,0.715785
23,flow_network_9,1.05013
