Run,Graph,Duration
1,flow_network_10,1.02303
2,flow_network_11,0.99919
3,flow_network_12,1.05161
4,flow_network_13,0.574191
5,flow_network_14,0.534043
6,flow_network_15,1.13307
7,flow_network_16,1.11775
8,flow_network_17,1.23854
9,flow_network_18,2.59784
10,flow_network_19,1.14771
11,flow_network_1,0.151821
12,flow_network_20,1.22871
13,flow_network_21,1.17921
14,flow_network_22,0.671549
15,flow_network_23,0.649492
16,flow_network_2,0.114762
17,flow_network_3,0.133106
18,flow_network_4,0.135371
19,flow_network_5,0.0449918
20,flow_network_6,0.45726
21,flow_network_7,0.69
22,flow_network_8,0.693167
23,flow_network_9,1.00564
