Run,Graph,Duration
1,flow_network_10,0.970974
2,flow_network_11,0.925007
3,flow_network_12,0.928348
4,flow_network_13,0.522681
5,flow_network_14,0.524875
6,flow_network_15,1.0444
7,flow_network_16,1.04398
8,flow_network_17,1.13795
9,flow_network_18,2.29407
10,flow_network_19,1.12468
11,flow_network_1,0.158702
12,flow_network_20,1.14488
13,flow_network_21,1.12978
14,flow_network_22,0.705761
15,flow_network_23,0.683916
16,flow_network_2,0.119709
17,flow_network_3,0.133731
18,flow_network_4,0.132766
19,flow_network_5,0.0459746
20,flow_network_6,0.448519
21,flow_network_7,0.691638
22,flow_network_8,0.692537
23,flow_network_9,0.963436
