Run,Graph,Duration
1,printed_graph100,0.2883
2,printed_graph10,0.494198
3,printed_graph11,0.566333
4,printed_graph12,0.37529
5,printed_graph13,0.291937
6,printed_graph14,0.200122
7,printed_graph15,0.191032
8,printed_graph16,0.341651
9,printed_graph17,0.427737
10,printed_graph18,0.397174
11,printed_graph19,0.55407
12,printed_graph1,1.01175
13,printed_graph20,0.483732
14,printed_graph21,1.09996
15,printed_graph22,0.261402
16,printed_graph23,0.743921
17,printed_graph24,0.489858
18,printed_graph25,0.230338
19,printed_graph26,0.129609
20,printed_graph27,0.479983
21,printed_graph28,0.193309
22,printed_graph29,0.721399
23,printed_graph2,0.461049
24,printed_graph30,0.796295
25,printed_graph31,0.189586
26,printed_graph32,0.284598
27,printed_graph33,0.368345
28,printed_graph34,0.386247
29,printed_graph35,0.267812
30,printed_graph36,0.286496
31,printed_graph37,0.27395
32,printed_graph38,0.527611
33,printed_graph39,0.385156
34,printed_graph3,0.256035
35,printed_graph40,0.322199
36,printed_graph41,0.426201
37,printed_graph42,0.297622
38,printed_graph43,0.482433
39,printed_graph44,0.160683
40,printed_graph45,0.548295
41,printed_graph46,0.613496
42,printed_graph47,0.714281
43,printed_graph48,0.318831
44,printed_graph49,0.334402
45,printed_graph4,0.533624
46,printed_graph50,0.39676
47,printed_graph51,0.665267
48,printed_graph52,0.364024
49,printed_graph53,0.498332
50,printed_graph54,0.543978
51,printed_graph55,0.785198
52,printed_graph56,0.360281
53,printed_graph57,0.392496
54,printed_graph59,0.299981
55,printed_graph5,0.646363
56,printed_graph60,0.312046
57,printed_graph61,0.303285
58,printed_graph62,0.293309
59,printed_graph63,0.809848
60,printed_graph64,0.280601
61,printed_graph65,0.441389
62,printed_graph66,0.582405
63,printed_graph67,0.467051
64,printed_graph68,0.456205
65,printed_graph69,0.454761
66,printed_graph6,0.698862
67,printed_graph70,0.310085
68,printed_graph71,0.296736
69,printed_graph72,1.02169
70,printed_graph73,0.480402
71,printed_graph74,0.342249
72,printed_graph75,0.680395
73,printed_graph76,0.375632
74,printed_graph77,0.393621
75,printed_graph78,0.398645
76,printed_graph79,0.460686
77,printed_graph7,0.66946
78,printed_graph8,0.0726294
