Run,Graph,Duration
1,printed_graph100,2.37199
2,printed_graph10,3.01914
3,printed_graph11,3.74746
4,printed_graph12,3.63932
5,printed_graph13,1.76174
6,printed_graph14,1.29056
7,printed_graph15,1.24391
8,printed_graph16,2.12065
9,printed_graph17,3.25652
10,printed_graph18,2.35002
11,printed_graph19,4.13253
12,printed_graph1,5.75813
13,printed_graph20,3.6668
14,printed_graph21,6.33435
15,printed_graph22,1.53604
16,printed_graph23,4.21033
17,printed_graph24,4.6091
18,printed_graph25,1.44807
19,printed_graph26,0.869226
20,printed_graph27,3.3785
21,printed_graph28,1.11667
22,printed_graph29,4.74279
23,printed_graph2,3.21991
24,printed_graph30,6.04698
25,printed_graph31,1.23037
26,printed_graph32,1.55773
27,printed_graph33,2.80426
28,printed_graph34,2.58872
29,printed_graph35,1.84465
30,printed_graph36,2.29799
31,printed_graph37,2.23011
32,printed_graph38,3.2268
33,printed_graph39,2.82148
34,printed_graph3,1.53833
35,printed_graph40,2.12891
36,printed_graph41,2.33429
37,printed_graph42,1.91137
38,printed_graph43,3.14121
39,printed_graph44,1.01745
40,printed_graph45,3.37334
41,printed_graph46,4.27643
42,printed_graph47,4.86559
43,printed_graph48,2.37467
44,printed_graph49,2.36854
45,printed_graph4,3.22918
46,printed_graph50,2.58961
47,printed_graph51,3.53593
48,printed_graph52,2.77025
49,printed_graph53,2.95351
50,printed_graph54,2.82355
51,printed_graph55,4.6456
52,printed_graph56,2.5654
53,printed_graph57,2.61622
54,printed_graph59,2.05337
55,printed_graph5,4.55555
56,printed_graph60,2.59208
57,printed_graph61,2.35078
58,printed_graph62,1.75249
59,printed_graph63,4.45775
60,printed_graph64,2.40091
61,printed_graph65,3.2493
62,printed_graph66,4.28165
63,printed_graph67,3.66863
64,printed_graph68,2.2952
65,printed_graph69,2.91788
66,printed_graph6,4.07548
67,printed_graph70,2.4385
68,printed_graph71,1.88152
69,printed_graph72,7.17132
70,printed_graph73,3.15859
71,printed_graph74,2.46941
72,printed_graph75,3.82904
73,printed_graph76,2.13447
74,printed_graph77,2.79462
75,printed_graph78,2.24173
76,printed_graph79,2.82215
77,printed_graph7,4.57719
78,printed_graph8,0.486255
