Run,Graph,Duration
1,printed_graph100,0.319923
2,printed_graph10,0.549716
3,printed_graph11,0.622797
4,printed_graph12,0.409124
5,printed_graph13,0.328634
6,printed_graph14,0.228453
7,printed_graph15,0.222588
8,printed_graph16,0.398494
9,printed_graph17,0.474338
10,printed_graph18,0.45523
11,printed_graph19,0.606585
12,printed_graph1,1.16638
13,printed_graph20,0.53853
14,printed_graph21,1.24688
15,printed_graph22,0.30626
16,printed_graph23,0.835666
17,printed_graph24,0.526416
18,printed_graph25,0.263026
19,printed_graph26,0.143377
20,printed_graph27,0.528438
21,printed_graph28,0.221356
22,printed_graph29,0.815426
23,printed_graph2,0.508848
24,printed_graph30,0.879648
25,printed_graph31,0.218814
26,printed_graph32,0.323238
27,printed_graph33,0.39133
28,printed_graph34,0.431122
29,printed_graph35,0.302123
30,printed_graph36,0.327789
31,printed_graph37,0.30143
32,printed_graph38,0.613255
33,printed_graph39,0.438317
34,printed_graph3,0.279729
35,printed_graph40,0.352283
36,printed_graph41,0.46236
37,printed_graph42,0.323727
38,printed_graph43,0.539544
39,printed_graph44,0.184585
40,printed_graph45,0.640702
41,printed_graph46,0.679859
42,printed_graph47,0.790083
43,printed_graph48,0.346719
44,printed_graph49,0.377793
45,printed_graph4,0.589208
46,printed_graph50,0.428362
47,printed_graph51,0.750993
48,printed_graph52,0.422747
49,printed_graph53,0.544888
50,printed_graph54,0.606931
51,printed_graph55,0.877184
52,printed_graph56,0.41493
53,printed_graph57,0.443242
54,printed_graph59,0.333249
55,printed_graph5,0.719955
56,printed_graph60,0.337735
57,printed_graph61,0.339092
58,printed_graph62,0.334334
59,printed_graph63,0.87093
60,printed_graph64,0.303221
61,printed_graph65,0.48007
62,printed_graph66,0.620681
63,printed_graph67,0.529818
64,printed_graph68,0.506198
65,printed_graph69,0.501853
66,printed_graph6,0.780143
67,printed_graph70,0.341026
68,printed_graph71,0.329814
69,printed_graph72,1.14452
70,printed_graph73,0.523723
71,printed_graph74,0.376733
72,printed_graph75,0.759098
73,printed_graph76,0.437308
74,printed_graph77,0.432438
75,printed_graph78,0.436518
76,printed_graph79,0.495881
77,printed_graph7,0.776427
78,printed_graph8,0.0795713
