Run,Graph,Duration
1,printed_graph100,0.404006
2,printed_graph10,0.743621
3,printed_graph11,0.755365
4,printed_graph12,0.496416
5,printed_graph13,0.417456
6,printed_graph14,0.302819
7,printed_graph15,0.320162
8,printed_graph16,0.552927
9,printed_graph17,0.571795
10,printed_graph18,0.562537
11,printed_graph19,0.734328
12,printed_graph1,1.3315
13,printed_graph20,0.638305
14,printed_graph21,1.46338
15,printed_graph22,0.389158
16,printed_graph23,0.989437
17,printed_graph24,0.63396
18,printed_graph25,0.382519
19,printed_graph26,0.235657
20,printed_graph27,0.701256
21,printed_graph28,0.3103
22,printed_graph29,0.921862
23,printed_graph2,0.63551
24,printed_graph30,1.07428
25,printed_graph31,0.290107
26,printed_graph32,0.445255
27,printed_graph33,0.500436
28,printed_graph34,0.556264
29,printed_graph35,0.435769
30,printed_graph36,0.386577
31,printed_graph37,0.41156
32,printed_graph38,0.744043
33,printed_graph39,0.551953
34,printed_graph3,0.399233
35,printed_graph40,0.428344
36,printed_graph41,0.553429
37,printed_graph42,0.419751
38,printed_graph43,0.673516
39,printed_graph44,0.269547
40,printed_graph45,0.717781
41,printed_graph46,0.797107
42,printed_graph47,0.964007
43,printed_graph48,0.441223
44,printed_graph49,0.509708
45,printed_graph4,0.70167
46,printed_graph50,0.51597
47,printed_graph51,0.978433
48,printed_graph52,0.48733
49,printed_graph53,0.586181
50,printed_graph54,0.759743
51,printed_graph55,1.00679
52,printed_graph56,0.490485
53,printed_graph57,0.625872
54,printed_graph59,0.431639
55,printed_graph5,0.93318
56,printed_graph60,0.405234
57,printed_graph61,0.443865
58,printed_graph62,0.460138
59,printed_graph63,1.02
60,printed_graph64,0.357279
61,printed_graph65,0.564007
62,printed_graph66,0.799984
63,printed_graph67,0.60185
64,printed_graph68,0.658979
65,printed_graph69,0.59727
66,printed_graph6,0.838381
67,printed_graph70,0.439533
68,printed_graph71,0.446144
69,printed_graph72,1.41609
70,printed_graph73,0.59136
71,printed_graph74,0.463018
72,printed_graph75,0.980819
73,printed_graph76,0.583868
74,printed_graph77,0.546323
75,printed_graph78,0.551947
76,printed_graph79,0.688802
77,printed_graph7,0.906071
78,printed_graph8,0.195813
