Run,Graph,Duration
1,flow_network_30,5.396522
2,flow_network_31,5.390392
3,flow_network_32,4.953838
4,flow_network_33,5.346692
5,flow_network_34,5.289260
6,flow_network_35,12.553245
7,flow_network_36,11.809621
8,flow_network_37,12.229890
9,flow_network_38,13.018003
10,flow_network_39,12.816648
11,flow_network_40,28.255919
12,flow_network_41,28.781990
13,flow_network_42,28.728544
14,flow_network_43,30.176602
15,flow_network_44,28.687041
16,flow_network_45,71.482027
17,flow_network_46,69.872440
18,flow_network_47,71.745794
19,flow_network_48,69.981308
20,flow_network_49,70.968299
