Run,Graph,Duration
1,printed_graph100,211.829000
2,printed_graph10,191.890000
3,printed_graph11,204.705000
4,printed_graph12,221.989000
5,printed_graph13,103.530000
6,printed_graph14,82.133000
7,printed_graph15,56.499000
8,printed_graph16,72.257000
9,printed_graph17,333.557000
10,printed_graph18,127.376000
11,printed_graph19,605.788000
12,printed_graph1,195.838000
13,printed_graph20,279.511000
14,printed_graph21,377.245000
15,printed_graph22,101.248000
16,printed_graph23,300.194000
17,printed_graph24,504.026000
18,printed_graph25,89.944000
19,printed_graph26,56.868000
20,printed_graph27,406.945000
21,printed_graph28,44.289000
22,printed_graph29,331.338000
23,printed_graph2,121.371000
24,printed_graph30,583.607000
25,printed_graph31,84.598000
26,printed_graph32,68.948000
27,printed_graph33,236.833000
28,printed_graph34,257.304000
29,printed_graph35,88.354000
30,printed_graph36,168.754000
31,printed_graph37,212.457000
32,printed_graph38,127.995000
33,printed_graph39,154.659000
34,printed_graph3,88.308000
35,printed_graph40,200.424000
36,printed_graph41,166.897000
37,printed_graph42,182.878000
38,printed_graph43,178.827000
39,printed_graph44,59.563000
40,printed_graph45,145.379000
41,printed_graph46,237.275000
42,printed_graph47,579.108000
43,printed_graph48,190.058000
44,printed_graph49,137.040000
45,printed_graph4,228.396000
46,printed_graph50,220.668000
47,printed_graph51,115.201000
48,printed_graph52,201.753000
49,printed_graph53,273.066000
50,printed_graph54,177.243000
51,printed_graph55,431.704000
52,printed_graph56,152.883000
53,printed_graph57,107.167000
54,printed_graph59,176.348000
55,printed_graph5,313.254000
56,printed_graph60,213.251000
57,printed_graph61,112.943000
58,printed_graph62,84.233000
59,printed_graph63,368.705000
60,printed_graph64,246.820000
61,printed_graph65,278.756000
62,printed_graph66,574.173000
63,printed_graph67,377.084000
64,printed_graph68,130.374000
65,printed_graph69,257.778000
66,printed_graph6,214.040000
67,printed_graph70,162.212000
68,printed_graph71,115.946000
69,printed_graph72,362.011000
70,printed_graph73,342.712000
71,printed_graph74,257.770000
72,printed_graph75,144.406000
73,printed_graph76,69.542000
74,printed_graph77,229.799000
75,printed_graph78,119.080000
76,printed_graph79,159.257000
77,printed_graph7,119.745000
78,printed_graph8,6.915000
