Run,Graph,Duration
1,printed_graph100,0.000082
2,printed_graph10,0.000086
3,printed_graph11,0.000095
4,printed_graph12,0.000087
5,printed_graph13,0.000055
6,printed_graph14,0.000049
7,printed_graph15,0.000060
8,printed_graph16,0.000063
9,printed_graph17,0.000104
10,printed_graph18,0.000078
11,printed_graph19,0.000117
12,printed_graph1,0.000095
13,printed_graph20,0.000081
14,printed_graph21,0.000127
15,printed_graph22,0.000072
16,printed_graph23,0.000111
17,printed_graph24,0.000102
18,printed_graph25,0.000054
19,printed_graph26,0.000051
20,printed_graph27,0.000097
21,printed_graph28,0.000050
22,printed_graph29,0.000098
23,printed_graph2,0.000083
24,printed_graph30,0.000127
25,printed_graph31,0.000047
26,printed_graph32,0.000057
27,printed_graph33,0.000069
28,printed_graph34,0.000094
29,printed_graph35,0.000063
30,printed_graph36,0.000072
31,printed_graph37,0.000079
32,printed_graph38,0.000099
33,printed_graph39,0.000079
34,printed_graph3,0.000061
35,printed_graph40,0.000069
36,printed_graph41,0.000081
37,printed_graph42,0.000069
38,printed_graph43,0.000073
39,printed_graph44,0.000051
40,printed_graph45,0.000090
41,printed_graph46,0.000089
42,printed_graph47,0.000129
43,printed_graph48,0.000060
44,printed_graph49,0.000068
45,printed_graph4,0.000080
46,printed_graph50,0.000083
47,printed_graph51,0.000060
48,printed_graph52,0.000089
49,printed_graph53,0.000110
50,printed_graph54,0.000085
51,printed_graph55,0.000097
52,printed_graph56,0.000093
53,printed_graph57,0.000072
54,printed_graph59,0.000072
55,printed_graph5,0.000110
56,printed_graph60,0.000079
57,printed_graph61,0.000070
58,printed_graph62,0.000092
59,printed_graph63,0.000121
60,printed_graph64,0.000077
61,printed_graph65,0.000094
62,printed_graph66,0.000112
63,printed_graph67,0.000106
64,printed_graph68,0.000061
65,printed_graph69,0.000099
66,printed_graph6,0.000099
67,printed_graph70,0.000079
68,printed_graph71,0.000060
69,printed_graph72,0.000097
70,printed_graph73,0.000127
71,printed_graph74,0.000088
72,printed_graph75,0.000073
73,printed_graph76,0.000073
74,printed_graph77,0.000087
75,printed_graph78,0.000076
76,printed_graph79,0.000063
77,printed_graph7,0.000091
78,printed_graph8,0.000089
