Run,Graph,Duration
1,flow_network_10,6.44566
2,flow_network_11,26.1923
3,flow_network_12,30.0551
4,flow_network_13,32.4932
5,flow_network_14,31.0683
6,flow_network_15,30.1386
7,flow_network_16,51.9055
8,flow_network_17,46.4404
9,flow_network_18,48.3835
10,flow_network_19,41.9654
11,flow_network_1,7.46332
12,flow_network_20,49.2002
13,flow_network_2,8.04918
14,flow_network_3,7.02371
15,flow_network_4,9.08339
16,flow_network_5,7.73062
17,flow_network_6,7.3554
18,flow_network_7,7.04444
19,flow_network_8,8.58997
20,flow_network_9,6.56432
