Run,Graph,Duration
1,flow_network_10,0.133518
2,flow_network_11,0.693428
3,flow_network_12,0.715967
4,flow_network_13,0.688425
5,flow_network_14,0.726101
6,flow_network_15,0.670929
7,flow_network_16,0.906073
8,flow_network_17,0.974353
9,flow_network_18,0.983856
10,flow_network_19,0.944979
11,flow_network_1,0.13921
12,flow_network_20,0.933145
13,flow_network_2,0.153516
14,flow_network_3,0.142572
15,flow_network_4,0.139525
16,flow_network_5,0.144006
17,flow_network_6,0.140769
18,flow_network_7,0.142425
19,flow_network_8,0.136872
20,flow_network_9,0.14159
