Run,Graph,Duration
1,flow_network_10,1.14156
2,flow_network_11,1.17356
3,flow_network_12,1.2363
4,flow_network_13,0.672475
5,flow_network_14,0.669664
6,flow_network_15,1.25708
7,flow_network_16,1.32117
8,flow_network_17,1.25053
9,flow_network_18,3.4083
10,flow_network_19,1.4947
11,flow_network_1,0.147769
12,flow_network_20,1.32153
13,flow_network_21,1.48068
14,flow_network_22,1.77322
15,flow_network_23,1.74089
16,flow_network_2,0.073058
17,flow_network_3,0.156497
18,flow_network_4,0.135751
19,flow_network_5,0.0430174
20,flow_network_6,0.617667
21,flow_network_7,0.94195
22,flow_network_8,0.919181
23,flow_network_9,1.06412
