Run,Graph,Duration
1,flow_network_10,10.304472
2,flow_network_11,105.394552
3,flow_network_12,222.157494
4,flow_network_13,1.297420
5,flow_network_14,1.276110
6,flow_network_15,4.915343
7,flow_network_16,8.088607
8,flow_network_17,3.559727
9,flow_network_18,20.475704
10,flow_network_19,4.273056
11,flow_network_1,0.274448
12,flow_network_20,8.887401
13,flow_network_21,4.281035
14,flow_network_22,4.379498
15,flow_network_23,4.432953
16,flow_network_2,0.203503
17,flow_network_3,4.772471
18,flow_network_4,0.214641
19,flow_network_5,0.193310
20,flow_network_6,2.399052
21,flow_network_7,205.071847
22,flow_network_8,8.890381
23,flow_network_9,2.852939
