Run,Graph,Duration
1,flow_network_10,16.307044
2,flow_network_11,13.643781
3,flow_network_12,11.116275
4,flow_network_13,4.933625
5,flow_network_14,4.923556
6,flow_network_15,18.182693
7,flow_network_16,18.306602
8,flow_network_17,14.393446
9,flow_network_18,446.576152
10,flow_network_19,14.259955
11,flow_network_1,1.879317
12,flow_network_20,17.481474
13,flow_network_21,17.408097
14,flow_network_22,10.643625
15,flow_network_23,10.650896
16,flow_network_2,1.238692
17,flow_network_3,1.966763
18,flow_network_4,6.411004
19,flow_network_5,0.369881
20,flow_network_6,8.513767
21,flow_network_7,83.836031
22,flow_network_8,14.657941
23,flow_network_9,13.604142
