Run,Graph,Duration
1,printed_graph100,30.738300
2,printed_graph10,46.387426
3,printed_graph11,55.533284
4,printed_graph12,28.916771
5,printed_graph13,15.163316
6,printed_graph14,12.702687
7,printed_graph15,23.206493
8,printed_graph16,40.096055
9,printed_graph17,65.762854
10,printed_graph18,41.495356
11,printed_graph19,75.930912
12,printed_graph1,65.406839
13,printed_graph20,40.313968
14,printed_graph21,99.369152
15,printed_graph22,19.713599
16,printed_graph23,83.178970
17,printed_graph24,46.905651
18,printed_graph25,14.599259
19,printed_graph26,9.448143
20,printed_graph27,48.451127
21,printed_graph28,8.940246
22,printed_graph29,59.042544
23,printed_graph2,41.601524
24,printed_graph30,73.407280
25,printed_graph31,12.722097
26,printed_graph32,13.682361
27,printed_graph33,30.928415
28,printed_graph34,60.755755
29,printed_graph35,17.276367
30,printed_graph36,28.708583
31,printed_graph37,30.707077
32,printed_graph38,62.449102
33,printed_graph39,49.164304
34,printed_graph3,13.524860
35,printed_graph40,37.097692
36,printed_graph41,37.331874
37,printed_graph42,32.107814
38,printed_graph43,31.745669
39,printed_graph44,10.771666
40,printed_graph45,41.482819
41,printed_graph46,55.609241
42,printed_graph47,110.145035
43,printed_graph48,23.933816
44,printed_graph49,19.596425
45,printed_graph4,48.025254
46,printed_graph50,33.311884
47,printed_graph51,31.843111
48,printed_graph52,46.577031
49,printed_graph53,46.903115
50,printed_graph54,42.156081
51,printed_graph55,72.050482
52,printed_graph56,54.165886
53,printed_graph57,57.014252
54,printed_graph59,38.894476
55,printed_graph5,71.278780
56,printed_graph60,31.754239
57,printed_graph61,25.034716
58,printed_graph62,65.509063
59,printed_graph63,97.377725
60,printed_graph64,36.459062
61,printed_graph65,49.507060
62,printed_graph66,64.907281
63,printed_graph67,68.842167
64,printed_graph68,24.096753
65,printed_graph69,58.382392
66,printed_graph6,67.629279
67,printed_graph70,34.610665
68,printed_graph71,46.212328
69,printed_graph72,98.212008
70,printed_graph73,72.618352
71,printed_graph74,46.670534
72,printed_graph75,35.659447
73,printed_graph76,22.249485
74,printed_graph77,42.994879
75,printed_graph78,27.161082
76,printed_graph79,16.115401
77,printed_graph7,61.062069
78,printed_graph8,21.170208
