Run,Graph,Duration
1,printed_graph100,4.483920
2,printed_graph10,5.829834
3,printed_graph11,6.100391
4,printed_graph12,4.915767
5,printed_graph13,2.529618
6,printed_graph14,1.718556
7,printed_graph15,2.675758
8,printed_graph16,2.676776
9,printed_graph17,9.548485
10,printed_graph18,5.303937
11,printed_graph19,12.479059
12,printed_graph1,6.722957
13,printed_graph20,5.591731
14,printed_graph21,13.603027
15,printed_graph22,3.036188
16,printed_graph23,11.622705
17,printed_graph24,7.352381
18,printed_graph25,2.533985
19,printed_graph26,1.587336
20,printed_graph27,8.262266
21,printed_graph28,1.390524
22,printed_graph29,7.486572
23,printed_graph2,5.352972
24,printed_graph30,12.660888
25,printed_graph31,1.598701
26,printed_graph32,2.017041
27,printed_graph33,3.851252
28,printed_graph34,7.409661
29,printed_graph35,3.110139
30,printed_graph36,4.088384
31,printed_graph37,4.291645
32,printed_graph38,7.974283
33,printed_graph39,5.074722
34,printed_graph3,2.518056
35,printed_graph40,4.039333
36,printed_graph41,4.874349
37,printed_graph42,3.810045
38,printed_graph43,4.166765
39,printed_graph44,1.496312
40,printed_graph45,6.060765
41,printed_graph46,7.394372
42,printed_graph47,14.087402
43,printed_graph48,3.462703
44,printed_graph49,4.347321
45,printed_graph4,5.370617
46,printed_graph50,4.482052
47,printed_graph51,3.265750
48,printed_graph52,6.653351
49,printed_graph53,6.512171
50,printed_graph54,5.503419
51,printed_graph55,9.744669
52,printed_graph56,6.162997
53,printed_graph57,4.457399
54,printed_graph59,4.696385
55,printed_graph5,9.460650
56,printed_graph60,4.811479
57,printed_graph61,3.589011
58,printed_graph62,5.590471
59,printed_graph63,12.629070
60,printed_graph64,5.491654
61,printed_graph65,6.100053
62,printed_graph66,9.669936
63,printed_graph67,8.610430
64,printed_graph68,3.175226
65,printed_graph69,7.535562
66,printed_graph6,7.989342
67,printed_graph70,4.233082
68,printed_graph71,3.485241
69,printed_graph72,8.837167
70,printed_graph73,13.088814
71,printed_graph74,6.002482
72,printed_graph75,4.399567
73,printed_graph76,3.854172
74,printed_graph77,5.771073
75,printed_graph78,4.195256
76,printed_graph79,3.590251
77,printed_graph7,7.143541
78,printed_graph8,1.064537
