Run,Graph,Duration
1,flow_network_10,0.527231
2,flow_network_11,0.648548
3,flow_network_12,0.652021
4,flow_network_13,0.764348
5,flow_network_14,0.753673
6,flow_network_15,0.955943
7,flow_network_16,0.952164
8,flow_network_17,1.188039
9,flow_network_18,1.526697
10,flow_network_19,1.170347
11,flow_network_1,0.083940
12,flow_network_20,1.186590
13,flow_network_21,1.166787
14,flow_network_22,2.116161
15,flow_network_23,2.107837
16,flow_network_2,0.079087
17,flow_network_3,0.071635
18,flow_network_4,0.073985
19,flow_network_5,0.095243
20,flow_network_6,0.301339
21,flow_network_7,0.366458
22,flow_network_8,0.367557
23,flow_network_9,0.531360
