Run,Graph,Duration
1,flow_network_10,1.02825
2,flow_network_11,0.997503
3,flow_network_12,0.98753
4,flow_network_13,0.528804
5,flow_network_14,0.533731
6,flow_network_15,1.08434
7,flow_network_16,1.13744
8,flow_network_17,1.18203
9,flow_network_18,2.41886
10,flow_network_19,1.17813
11,flow_network_1,0.152095
12,flow_network_20,1.20275
13,flow_network_21,1.19635
14,flow_network_22,0.673011
15,flow_network_23,0.659734
16,flow_network_2,0.118824
17,flow_network_3,0.139475
18,flow_network_4,0.130834
19,flow_network_5,0.0463609
20,flow_network_6,0.453686
21,flow_network_7,0.694488
22,flow_network_8,0.695668
23,flow_network_9,1.0263
