Run,Graph,Duration
1,flow_network_10,13.1956
2,flow_network_11,19.0264
3,flow_network_12,18.8155
4,flow_network_13,5.12436
5,flow_network_14,3.73709
6,flow_network_15,21.6598
7,flow_network_16,22.6843
8,flow_network_17,22.9296
9,flow_network_18,47.0471
10,flow_network_19,23.1335
11,flow_network_1,2.54742
12,flow_network_20,24.0439
13,flow_network_21,23.3802
14,flow_network_22,6.54126
15,flow_network_23,4.39739
16,flow_network_2,0.833886
17,flow_network_3,1.89055
18,flow_network_4,1.99495
19,flow_network_5,0.587279
20,flow_network_6,7.36309
21,flow_network_7,10.1214
22,flow_network_8,10.6652
23,flow_network_9,14.41
