Run,Graph,Duration
1,flow_network_10,1.94274
2,flow_network_11,1.75558
3,flow_network_12,1.76575
4,flow_network_13,1.24119
5,flow_network_14,1.38814
6,flow_network_15,1.87551
7,flow_network_16,1.90138
8,flow_network_17,1.83012
9,flow_network_18,3.88551
10,flow_network_19,1.84052
11,flow_network_1,0.393593
12,flow_network_20,1.82738
13,flow_network_21,1.83653
14,flow_network_22,1.75996
15,flow_network_23,1.50118
16,flow_network_2,0.342414
17,flow_network_3,0.360103
18,flow_network_4,0.357652
19,flow_network_5,0.0577351
20,flow_network_6,1.02176
21,flow_network_7,1.52397
22,flow_network_8,1.48369
23,flow_network_9,1.95688
