Run,Graph,Duration
1,printed_graph100,0.275156
2,printed_graph10,0.470337
3,printed_graph11,0.532779
4,printed_graph12,0.360912
5,printed_graph13,0.270596
6,printed_graph14,0.184467
7,printed_graph15,0.173498
8,printed_graph16,0.322124
9,printed_graph17,0.405817
10,printed_graph18,0.373983
11,printed_graph19,0.532185
12,printed_graph1,0.963891
13,printed_graph20,0.458667
14,printed_graph21,1.03586
15,printed_graph22,0.24848
16,printed_graph23,0.697932
17,printed_graph24,0.478327
18,printed_graph25,0.215008
19,printed_graph26,0.114774
20,printed_graph27,0.466631
21,printed_graph28,0.170547
22,printed_graph29,0.683969
23,printed_graph2,0.437227
24,printed_graph30,0.757665
25,printed_graph31,0.174094
26,printed_graph32,0.258791
27,printed_graph33,0.350076
28,printed_graph34,0.368474
29,printed_graph35,0.249864
30,printed_graph36,0.272595
31,printed_graph37,0.259464
32,printed_graph38,0.499701
33,printed_graph39,0.366068
34,printed_graph3,0.228938
35,printed_graph40,0.302318
36,printed_graph41,0.391065
37,printed_graph42,0.280391
38,printed_graph43,0.452473
39,printed_graph44,0.145937
40,printed_graph45,0.516469
41,printed_graph46,0.580342
42,printed_graph47,0.672795
43,printed_graph48,0.301139
44,printed_graph49,0.316283
45,printed_graph4,0.506288
46,printed_graph50,0.375002
47,printed_graph51,0.615687
48,printed_graph52,0.344533
49,printed_graph53,0.468521
50,printed_graph54,0.508669
51,printed_graph55,0.751361
52,printed_graph56,0.337325
53,printed_graph57,0.368449
54,printed_graph59,0.284013
55,printed_graph5,0.600664
56,printed_graph60,0.293604
57,printed_graph61,0.28483
58,printed_graph62,0.278677
59,printed_graph63,0.743378
60,printed_graph64,0.264412
61,printed_graph65,0.418309
62,printed_graph66,0.553722
63,printed_graph67,0.44073
64,printed_graph68,0.429382
65,printed_graph69,0.432322
66,printed_graph6,0.653115
67,printed_graph70,0.28968
68,printed_graph71,0.27233
69,printed_graph72,0.979674
70,printed_graph73,0.449996
71,printed_graph74,0.325843
72,printed_graph75,0.643607
73,printed_graph76,0.348877
74,printed_graph77,0.376606
75,printed_graph78,0.366678
76,printed_graph79,0.440241
77,printed_graph7,0.644478
78,printed_graph8,0.0873065
