Run,Graph,Duration
1,printed_graph100,0.282279
2,printed_graph10,0.478899
3,printed_graph11,0.529391
4,printed_graph12,0.362422
5,printed_graph13,0.274974
6,printed_graph14,0.192176
7,printed_graph15,0.178616
8,printed_graph16,0.325151
9,printed_graph17,0.41069
10,printed_graph18,0.386568
11,printed_graph19,0.543633
12,printed_graph1,0.982675
13,printed_graph20,0.462592
14,printed_graph21,1.07079
15,printed_graph22,0.252144
16,printed_graph23,0.710497
17,printed_graph24,0.477226
18,printed_graph25,0.218252
19,printed_graph26,0.116441
20,printed_graph27,0.465764
21,printed_graph28,0.176851
22,printed_graph29,0.691693
23,printed_graph2,0.439883
24,printed_graph30,0.767459
25,printed_graph31,0.17772
26,printed_graph32,0.270457
27,printed_graph33,0.352208
28,printed_graph34,0.374194
29,printed_graph35,0.256376
30,printed_graph36,0.276435
31,printed_graph37,0.263558
32,printed_graph38,0.520418
33,printed_graph39,0.373483
34,printed_graph3,0.233471
35,printed_graph40,0.307737
36,printed_graph41,0.399993
37,printed_graph42,0.291802
38,printed_graph43,0.455713
39,printed_graph44,0.150294
40,printed_graph45,0.536732
41,printed_graph46,0.597821
42,printed_graph47,0.685708
43,printed_graph48,0.303599
44,printed_graph49,0.318883
45,printed_graph4,0.51577
46,printed_graph50,0.378827
47,printed_graph51,0.629326
48,printed_graph52,0.354105
49,printed_graph53,0.472957
50,printed_graph54,0.527305
51,printed_graph55,0.765084
52,printed_graph56,0.349907
53,printed_graph57,0.376249
54,printed_graph59,0.288573
55,printed_graph5,0.617997
56,printed_graph60,0.298115
57,printed_graph61,0.290493
58,printed_graph62,0.285197
59,printed_graph63,0.754779
60,printed_graph64,0.268325
61,printed_graph65,0.421417
62,printed_graph66,0.564136
63,printed_graph67,0.45064
64,printed_graph68,0.440492
65,printed_graph69,0.437646
66,printed_graph6,0.664517
67,printed_graph70,0.292529
68,printed_graph71,0.280719
69,printed_graph72,0.99853
70,printed_graph73,0.458965
71,printed_graph74,0.332869
72,printed_graph75,0.65719
73,printed_graph76,0.362643
74,printed_graph77,0.380209
75,printed_graph78,0.372332
76,printed_graph79,0.448487
77,printed_graph7,0.653474
78,printed_graph8,0.0894709
