Run,Graph,Duration
1,flow_network_30,5.750000
2,flow_network_31,5.620000
3,flow_network_32,5.405000
4,flow_network_33,5.615000
5,flow_network_34,5.530000
6,flow_network_35,12.015000
7,flow_network_36,12.130000
8,flow_network_37,12.488000
9,flow_network_38,12.660000
10,flow_network_39,12.719000
11,flow_network_40,19.934000
12,flow_network_41,20.735000
13,flow_network_42,20.095000
14,flow_network_43,19.758000
15,flow_network_44,19.204000
16,flow_network_45,38.766000
17,flow_network_46,38.959000
18,flow_network_47,38.978000
19,flow_network_48,39.292000
20,flow_network_49,39.080000
