Run,Graph,Duration
1,flow_network_30,5.224872
2,flow_network_31,5.033939
3,flow_network_32,4.780429
4,flow_network_33,5.407093
5,flow_network_34,4.943416
6,flow_network_35,12.218283
7,flow_network_36,12.228224
8,flow_network_37,12.231377
9,flow_network_38,12.529789
10,flow_network_39,12.380831
11,flow_network_40,10.370946
12,flow_network_41,10.954426
13,flow_network_42,11.237803
14,flow_network_43,11.173860
15,flow_network_44,10.492928
16,flow_network_45,25.591824
17,flow_network_46,26.257512
18,flow_network_47,26.104397
19,flow_network_48,25.907800
20,flow_network_49,26.021354
