Run,Graph,Duration
1,flow_network_30,6.596164
2,flow_network_31,6.326764
3,flow_network_32,6.167674
4,flow_network_33,6.850664
5,flow_network_34,6.236592
6,flow_network_35,15.072577
7,flow_network_36,15.040720
8,flow_network_37,14.649723
9,flow_network_38,15.429418
10,flow_network_39,15.075734
11,flow_network_40,12.229220
12,flow_network_41,13.066171
13,flow_network_42,13.348973
14,flow_network_43,13.263557
15,flow_network_44,13.407827
16,flow_network_45,35.939697
17,flow_network_46,30.411187
18,flow_network_47,30.408798
19,flow_network_48,29.683867
20,flow_network_49,29.750930
