Run,Graph,Duration
1,printed_graph100,0.000044
2,printed_graph10,0.000044
3,printed_graph11,0.000053
4,printed_graph12,0.000061
5,printed_graph13,0.000034
6,printed_graph14,0.000032
7,printed_graph15,0.000031
8,printed_graph16,0.000031
9,printed_graph17,0.000060
10,printed_graph18,0.000045
11,printed_graph19,0.000072
12,printed_graph1,0.000059
13,printed_graph20,0.000045
14,printed_graph21,0.000071
15,printed_graph22,0.000053
16,printed_graph23,0.000065
17,printed_graph24,0.000065
18,printed_graph25,0.000032
19,printed_graph26,0.000026
20,printed_graph27,0.000050
21,printed_graph28,0.000029
22,printed_graph29,0.000062
23,printed_graph2,0.000050
24,printed_graph30,0.000074
25,printed_graph31,0.000028
26,printed_graph32,0.000031
27,printed_graph33,0.000041
28,printed_graph34,0.000054
29,printed_graph35,0.000037
30,printed_graph36,0.000042
31,printed_graph37,0.000048
32,printed_graph38,0.000056
33,printed_graph39,0.000044
34,printed_graph3,0.000035
35,printed_graph40,0.000041
36,printed_graph41,0.000044
37,printed_graph42,0.000040
38,printed_graph43,0.000041
39,printed_graph44,0.000030
40,printed_graph45,0.000051
41,printed_graph46,0.000056
42,printed_graph47,0.000080
43,printed_graph48,0.000041
44,printed_graph49,0.000046
45,printed_graph4,0.000042
46,printed_graph50,0.000042
47,printed_graph51,0.000036
48,printed_graph52,0.000054
49,printed_graph53,0.000055
50,printed_graph54,0.000049
51,printed_graph55,0.000056
52,printed_graph56,0.000052
53,printed_graph57,0.000042
54,printed_graph59,0.000040
55,printed_graph5,0.000060
56,printed_graph60,0.000046
57,printed_graph61,0.000046
58,printed_graph62,0.000051
59,printed_graph63,0.000067
60,printed_graph64,0.000043
61,printed_graph65,0.000049
62,printed_graph66,0.000069
63,printed_graph67,0.000062
64,printed_graph68,0.000041
65,printed_graph69,0.000058
66,printed_graph6,0.000061
67,printed_graph70,0.000045
68,printed_graph71,0.000036
69,printed_graph72,0.000056
70,printed_graph73,0.000081
71,printed_graph74,0.000054
72,printed_graph75,0.000044
73,printed_graph76,0.000040
74,printed_graph77,0.000051
75,printed_graph78,0.000042
76,printed_graph79,0.000037
77,printed_graph7,0.000069
78,printed_graph8,0.000056
