Run,Graph,Duration
1,printed_graph100,0.002500
2,printed_graph10,0.005069
3,printed_graph11,0.005752
4,printed_graph12,0.002823
5,printed_graph13,0.003030
6,printed_graph14,0.002810
7,printed_graph15,0.002979
8,printed_graph16,0.001721
9,printed_graph17,0.003504
10,printed_graph18,0.002774
11,printed_graph19,0.004033
12,printed_graph1,0.006064
13,printed_graph20,0.002820
14,printed_graph21,0.004121
15,printed_graph22,0.001985
16,printed_graph23,0.003721
17,printed_graph24,0.003458
18,printed_graph25,0.002625
19,printed_graph26,0.001494
20,printed_graph27,0.005781
21,printed_graph28,0.002453
22,printed_graph29,0.003412
23,printed_graph2,0.002807
24,printed_graph30,0.008738
25,printed_graph31,0.002180
26,printed_graph32,0.001551
27,printed_graph33,0.003561
28,printed_graph34,0.003268
29,printed_graph35,0.003966
30,printed_graph36,0.004509
31,printed_graph37,0.002468
32,printed_graph38,0.003334
33,printed_graph39,0.003953
34,printed_graph3,0.001701
35,printed_graph40,0.004108
36,printed_graph41,0.002638
37,printed_graph42,0.004179
38,printed_graph43,0.004012
39,printed_graph44,0.001306
40,printed_graph45,0.005898
41,printed_graph46,0.006157
42,printed_graph47,0.007495
43,printed_graph48,0.003694
44,printed_graph49,0.003994
45,printed_graph4,0.002694
46,printed_graph50,0.004950
47,printed_graph51,0.003014
48,printed_graph52,0.006523
49,printed_graph53,0.003241
50,printed_graph54,0.005574
51,printed_graph55,0.003182
52,printed_graph56,0.005653
53,printed_graph57,0.004278
54,printed_graph59,0.003561
55,printed_graph5,0.003642
56,printed_graph60,0.005244
57,printed_graph61,0.002319
58,printed_graph62,0.004981
59,printed_graph63,0.004028
60,printed_graph64,0.002584
61,printed_graph65,0.003206
62,printed_graph66,0.003526
63,printed_graph67,0.007285
64,printed_graph68,0.004508
65,printed_graph69,0.003157
66,printed_graph6,0.003344
67,printed_graph70,0.002560
68,printed_graph71,0.003692
69,printed_graph72,0.003223
70,printed_graph73,0.009651
71,printed_graph74,0.007297
72,printed_graph75,0.002523
73,printed_graph76,0.003607
74,printed_graph77,0.003024
75,printed_graph78,0.004370
76,printed_graph79,0.002123
77,printed_graph7,0.005822
78,printed_graph8,0.000831
