Run,Graph,Duration
1,flow_network_10,7.55678
2,flow_network_11,31.4153
3,flow_network_12,36.4659
4,flow_network_13,39.0206
5,flow_network_14,37.7157
6,flow_network_15,37.6474
7,flow_network_16,64.9885
8,flow_network_17,57.7034
9,flow_network_18,61.3288
10,flow_network_19,53.6103
11,flow_network_1,8.71876
12,flow_network_20,61.3754
13,flow_network_2,9.37849
14,flow_network_3,7.91464
15,flow_network_4,10.4968
16,flow_network_5,8.86551
17,flow_network_6,8.54724
18,flow_network_7,8.31826
19,flow_network_8,10.1093
20,flow_network_9,7.46338
