Run,Graph,Duration
1,flow_network_10,5.458171
2,flow_network_11,3.061124
3,flow_network_12,4.520990
4,flow_network_13,1.376107
5,flow_network_14,1.386970
6,flow_network_15,5.168899
7,flow_network_16,4.464949
8,flow_network_17,3.747704
9,flow_network_18,13.925572
10,flow_network_19,4.442703
11,flow_network_1,0.268720
12,flow_network_20,9.221586
13,flow_network_21,4.422742
14,flow_network_22,4.556508
15,flow_network_23,4.563153
16,flow_network_2,0.212421
17,flow_network_3,0.349147
18,flow_network_4,0.223945
19,flow_network_5,0.189525
20,flow_network_6,1.695586
21,flow_network_7,3.666538
22,flow_network_8,3.224377
23,flow_network_9,2.921443
