Run,Graph,Duration
1.0,printed_graph100,0.0410103
1.0,printed_graph10,0.0359974
1.0,printed_graph11,0.044884
1.0,printed_graph12,0.0583729
1.0,printed_graph13,0.028024
1.0,printed_graph14,0.0200284
1.0,printed_graph15,0.0120757
1.0,printed_graph16,0.0178922
1.0,printed_graph17,0.052141
1.0,printed_graph18,0.0275278
1.0,printed_graph19,0.0741805
1.0,printed_graph1,0.0444129
1.0,printed_graph20,0.0489831
1.0,printed_graph21,0.0609231
1.0,printed_graph22,0.0222787
1.0,printed_graph23,0.0409213
1.0,printed_graph24,0.0881353
1.0,printed_graph25,0.0269024
1.0,printed_graph26,0.0201532
1.0,printed_graph27,0.0492052
1.0,printed_graph28,0.019112
1.0,printed_graph29,0.0745251
1.0,printed_graph2,0.0367403
1.0,printed_graph30,0.0926885
1.0,printed_graph31,0.0296469
1.0,printed_graph32,0.0189477
1.0,printed_graph33,0.0336964
1.0,printed_graph34,0.0434077
1.0,printed_graph35,0.0260337
1.0,printed_graph36,0.0358968
1.0,printed_graph37,0.0433839
1.0,printed_graph38,0.0295774
1.0,printed_graph39,0.0252703
1.0,printed_graph3,0.0231547
1.0,printed_graph40,0.0334613
1.0,printed_graph41,0.0335873
1.0,printed_graph42,0.0350113
1.0,printed_graph43,0.049772
1.0,printed_graph44,0.0150442
1.0,printed_graph45,0.0368651
1.0,printed_graph46,0.0544009
1.0,printed_graph47,0.0592837
1.0,printed_graph48,0.041737
1.0,printed_graph49,0.032903
1.0,printed_graph4,0.0498609
1.0,printed_graph50,0.0422618
1.0,printed_graph51,0.0340079
1.0,printed_graph52,0.0406678
1.0,printed_graph53,0.0515635
1.0,printed_graph54,0.0356567
1.0,printed_graph55,0.0592218
1.0,printed_graph56,0.0270861
1.0,printed_graph57,0.0228456
1.0,printed_graph59,0.029205
1.0,printed_graph5,0.0482889
1.0,printed_graph60,0.0375485
1.0,printed_graph61,0.0285621
1.0,printed_graph62,0.0212463
1.0,printed_graph63,0.051593
1.0,printed_graph64,0.0387941
1.0,printed_graph65,0.0486505
1.0,printed_graph66,0.0726409
1.0,printed_graph67,0.0564404
1.0,printed_graph68,0.0389378
1.0,printed_graph69,0.0440498
1.0,printed_graph6,0.041293
1.0,printed_graph70,0.0388083
1.0,printed_graph71,0.0218659
1.0,printed_graph72,0.0501053
1.0,printed_graph73,0.0578417
1.0,printed_graph74,0.0480331
1.0,printed_graph75,0.047744
1.0,printed_graph76,0.0266868
1.0,printed_graph77,0.0450763
1.0,printed_graph78,0.0285203
1.0,printed_graph79,0.0566436
1.0,printed_graph7,0.0332978
1.0,printed_graph8,0.00556788
