Run,Graph,Duration
1,printed_graph100,16.974526
2,printed_graph10,34.950848
3,printed_graph11,32.868574
4,printed_graph12,24.768233
5,printed_graph13,6.706784
6,printed_graph14,6.042627
7,printed_graph15,15.816596
8,printed_graph16,20.931528
9,printed_graph17,44.844775
10,printed_graph18,24.204716
11,printed_graph19,54.604003
12,printed_graph1,46.343885
13,printed_graph20,28.172487
14,printed_graph21,117.526990
15,printed_graph22,10.288481
16,printed_graph23,64.137334
17,printed_graph24,51.898668
18,printed_graph25,6.816113
19,printed_graph26,3.988823
20,printed_graph27,44.715139
21,printed_graph28,3.186901
22,printed_graph29,36.740104
23,printed_graph2,28.372604
24,printed_graph30,63.775900
25,printed_graph31,3.989994
26,printed_graph32,6.734045
27,printed_graph33,17.427085
28,printed_graph34,42.622785
29,printed_graph35,8.431748
30,printed_graph36,13.126955
31,printed_graph37,14.388071
32,printed_graph38,28.094263
33,printed_graph39,37.805121
34,printed_graph3,9.641231
35,printed_graph40,23.598676
36,printed_graph41,15.653540
37,printed_graph42,14.708201
38,printed_graph43,14.490875
39,printed_graph44,3.993297
40,printed_graph45,21.690276
41,printed_graph46,33.879318
42,printed_graph47,94.818954
43,printed_graph48,9.533906
44,printed_graph49,28.919552
45,printed_graph4,29.813948
46,printed_graph50,20.492778
47,printed_graph51,18.391539
48,printed_graph52,23.450483
49,printed_graph53,30.836614
50,printed_graph54,27.820677
51,printed_graph55,63.701865
52,printed_graph56,52.748970
53,printed_graph57,32.361894
54,printed_graph59,45.449496
55,printed_graph5,40.236115
56,printed_graph60,17.103510
57,printed_graph61,10.775309
58,printed_graph62,54.342371
59,printed_graph63,88.981221
60,printed_graph64,17.515733
61,printed_graph65,31.368646
62,printed_graph66,43.104753
63,printed_graph67,45.827042
64,printed_graph68,14.208230
65,printed_graph69,34.631838
66,printed_graph6,51.047156
67,printed_graph70,23.192510
68,printed_graph71,34.521214
69,printed_graph72,69.247591
70,printed_graph73,36.346197
71,printed_graph74,33.781791
72,printed_graph75,16.970475
73,printed_graph76,12.957493
74,printed_graph77,19.599439
75,printed_graph78,13.603442
76,printed_graph79,21.100098
77,printed_graph7,49.322775
78,printed_graph8,26.854076
