Run,Graph,Duration
1,printed_graph100,1.508678
2,printed_graph10,3.051020
3,printed_graph11,8.421384
4,printed_graph12,4.806167
5,printed_graph13,1.353402
6,printed_graph14,0.839883
7,printed_graph15,1.552421
8,printed_graph16,2.026810
9,printed_graph17,5.859238
10,printed_graph18,3.928988
11,printed_graph19,7.048809
12,printed_graph1,5.998972
13,printed_graph20,3.607366
14,printed_graph21,11.825963
15,printed_graph22,3.103459
16,printed_graph23,16.458910
17,printed_graph24,5.985408
18,printed_graph25,2.506786
19,printed_graph26,1.793987
20,printed_graph27,1.466305
21,printed_graph28,2.427906
22,printed_graph29,7.074696
23,printed_graph2,11.596343
24,printed_graph30,10.822300
25,printed_graph31,0.517924
26,printed_graph32,1.203405
27,printed_graph33,1.570568
28,printed_graph34,7.403520
29,printed_graph35,3.233184
30,printed_graph36,4.358185
31,printed_graph37,3.289059
32,printed_graph38,13.185258
33,printed_graph39,3.267572
34,printed_graph3,2.312869
35,printed_graph40,2.084382
36,printed_graph41,4.424426
37,printed_graph42,1.413322
38,printed_graph43,2.121370
39,printed_graph44,3.128030
40,printed_graph45,5.170128
41,printed_graph46,6.764534
42,printed_graph47,9.647779
43,printed_graph48,1.220397
44,printed_graph49,3.517083
45,printed_graph4,2.218282
46,printed_graph50,0.987436
47,printed_graph51,3.300105
48,printed_graph52,7.844228
49,printed_graph53,10.290089
50,printed_graph54,3.127655
51,printed_graph55,3.157456
52,printed_graph56,11.286354
53,printed_graph57,4.360876
54,printed_graph59,4.446768
55,printed_graph5,12.036730
56,printed_graph60,3.978388
57,printed_graph61,4.655571
58,printed_graph62,7.008144
59,printed_graph63,10.503743
60,printed_graph64,2.170837
61,printed_graph65,4.836201
62,printed_graph66,5.183627
63,printed_graph67,10.527986
64,printed_graph68,1.501433
65,printed_graph69,6.286774
66,printed_graph6,7.499711
67,printed_graph70,6.291974
68,printed_graph71,2.770231
69,printed_graph72,4.855433
70,printed_graph73,16.983425
71,printed_graph74,7.260227
72,printed_graph75,3.309256
73,printed_graph76,5.173363
74,printed_graph77,4.083605
75,printed_graph78,3.788649
76,printed_graph79,2.991642
77,printed_graph7,9.138462
78,printed_graph8,12.170671
